site,chat_index,clip_index
NoXI,001_2016-03-17_Paris,1
NoXI,001_2016-03-17_Paris,10
NoXI,001_2016-03-17_Paris,11
NoXI,001_2016-03-17_Paris,12
NoXI,001_2016-03-17_Paris,13
NoXI,001_2016-03-17_Paris,14
NoXI,001_2016-03-17_Paris,15
NoXI,001_2016-03-17_Paris,16
NoXI,001_2016-03-17_Paris,17
NoXI,001_2016-03-17_Paris,18
NoXI,001_2016-03-17_Paris,19
NoXI,001_2016-03-17_Paris,2
NoXI,001_2016-03-17_Paris,20
NoXI,001_2016-03-17_Paris,21
NoXI,001_2016-03-17_Paris,22
NoXI,001_2016-03-17_Paris,23
NoXI,001_2016-03-17_Paris,24
NoXI,001_2016-03-17_Paris,25
NoXI,001_2016-03-17_Paris,26
NoXI,001_2016-03-17_Paris,27
NoXI,001_2016-03-17_Paris,28
NoXI,001_2016-03-17_Paris,29
NoXI,001_2016-03-17_Paris,3
NoXI,001_2016-03-17_Paris,30
NoXI,001_2016-03-17_Paris,31
NoXI,001_2016-03-17_Paris,32
NoXI,001_2016-03-17_Paris,33
NoXI,001_2016-03-17_Paris,34
NoXI,001_2016-03-17_Paris,35
NoXI,001_2016-03-17_Paris,4
NoXI,001_2016-03-17_Paris,5
NoXI,001_2016-03-17_Paris,6
NoXI,001_2016-03-17_Paris,7
NoXI,001_2016-03-17_Paris,8
NoXI,001_2016-03-17_Paris,9
NoXI,002_2016-03-17_Paris,1
NoXI,002_2016-03-17_Paris,10
NoXI,002_2016-03-17_Paris,11
NoXI,002_2016-03-17_Paris,12
NoXI,002_2016-03-17_Paris,13
NoXI,002_2016-03-17_Paris,14
NoXI,002_2016-03-17_Paris,15
NoXI,002_2016-03-17_Paris,16
NoXI,002_2016-03-17_Paris,17
NoXI,002_2016-03-17_Paris,18
NoXI,002_2016-03-17_Paris,19
NoXI,002_2016-03-17_Paris,2
NoXI,002_2016-03-17_Paris,20
NoXI,002_2016-03-17_Paris,21
NoXI,002_2016-03-17_Paris,22
NoXI,002_2016-03-17_Paris,23
NoXI,002_2016-03-17_Paris,24
NoXI,002_2016-03-17_Paris,25
NoXI,002_2016-03-17_Paris,26
NoXI,002_2016-03-17_Paris,27
NoXI,002_2016-03-17_Paris,28
NoXI,002_2016-03-17_Paris,29
NoXI,002_2016-03-17_Paris,3
NoXI,002_2016-03-17_Paris,30
NoXI,002_2016-03-17_Paris,31
NoXI,002_2016-03-17_Paris,32
NoXI,002_2016-03-17_Paris,33
NoXI,002_2016-03-17_Paris,34
NoXI,002_2016-03-17_Paris,35
NoXI,002_2016-03-17_Paris,36
NoXI,002_2016-03-17_Paris,37
NoXI,002_2016-03-17_Paris,38
NoXI,002_2016-03-17_Paris,39
NoXI,002_2016-03-17_Paris,4
NoXI,002_2016-03-17_Paris,40
NoXI,002_2016-03-17_Paris,41
NoXI,002_2016-03-17_Paris,42
NoXI,002_2016-03-17_Paris,43
NoXI,002_2016-03-17_Paris,44
NoXI,002_2016-03-17_Paris,45
NoXI,002_2016-03-17_Paris,46
NoXI,002_2016-03-17_Paris,47
NoXI,002_2016-03-17_Paris,48
NoXI,002_2016-03-17_Paris,49
NoXI,002_2016-03-17_Paris,5
NoXI,002_2016-03-17_Paris,50
NoXI,002_2016-03-17_Paris,51
NoXI,002_2016-03-17_Paris,52
NoXI,002_2016-03-17_Paris,53
NoXI,002_2016-03-17_Paris,54
NoXI,002_2016-03-17_Paris,55
NoXI,002_2016-03-17_Paris,56
NoXI,002_2016-03-17_Paris,57
NoXI,002_2016-03-17_Paris,58
NoXI,002_2016-03-17_Paris,59
NoXI,002_2016-03-17_Paris,6
NoXI,002_2016-03-17_Paris,60
NoXI,002_2016-03-17_Paris,61
NoXI,002_2016-03-17_Paris,62
NoXI,002_2016-03-17_Paris,63
NoXI,002_2016-03-17_Paris,64
NoXI,002_2016-03-17_Paris,7
NoXI,002_2016-03-17_Paris,8
NoXI,002_2016-03-17_Paris,9
NoXI,003_2016-03-17_Paris,1
NoXI,003_2016-03-17_Paris,10
NoXI,003_2016-03-17_Paris,11
NoXI,003_2016-03-17_Paris,12
NoXI,003_2016-03-17_Paris,13
NoXI,003_2016-03-17_Paris,14
NoXI,003_2016-03-17_Paris,15
NoXI,003_2016-03-17_Paris,16
NoXI,003_2016-03-17_Paris,17
NoXI,003_2016-03-17_Paris,18
NoXI,003_2016-03-17_Paris,19
NoXI,003_2016-03-17_Paris,2
NoXI,003_2016-03-17_Paris,20
NoXI,003_2016-03-17_Paris,21
NoXI,003_2016-03-17_Paris,22
NoXI,003_2016-03-17_Paris,23
NoXI,003_2016-03-17_Paris,24
NoXI,003_2016-03-17_Paris,25
NoXI,003_2016-03-17_Paris,3
NoXI,003_2016-03-17_Paris,4
NoXI,003_2016-03-17_Paris,5
NoXI,003_2016-03-17_Paris,6
NoXI,003_2016-03-17_Paris,7
NoXI,003_2016-03-17_Paris,8
NoXI,003_2016-03-17_Paris,9
NoXI,004_2016-03-18_Paris,1
NoXI,004_2016-03-18_Paris,10
NoXI,004_2016-03-18_Paris,11
NoXI,004_2016-03-18_Paris,12
NoXI,004_2016-03-18_Paris,13
NoXI,004_2016-03-18_Paris,14
NoXI,004_2016-03-18_Paris,15
NoXI,004_2016-03-18_Paris,16
NoXI,004_2016-03-18_Paris,17
NoXI,004_2016-03-18_Paris,18
NoXI,004_2016-03-18_Paris,19
NoXI,004_2016-03-18_Paris,2
NoXI,004_2016-03-18_Paris,20
NoXI,004_2016-03-18_Paris,21
NoXI,004_2016-03-18_Paris,22
NoXI,004_2016-03-18_Paris,23
NoXI,004_2016-03-18_Paris,24
NoXI,004_2016-03-18_Paris,25
NoXI,004_2016-03-18_Paris,26
NoXI,004_2016-03-18_Paris,27
NoXI,004_2016-03-18_Paris,28
NoXI,004_2016-03-18_Paris,29
NoXI,004_2016-03-18_Paris,3
NoXI,004_2016-03-18_Paris,30
NoXI,004_2016-03-18_Paris,31
NoXI,004_2016-03-18_Paris,32
NoXI,004_2016-03-18_Paris,33
NoXI,004_2016-03-18_Paris,34
NoXI,004_2016-03-18_Paris,35
NoXI,004_2016-03-18_Paris,36
NoXI,004_2016-03-18_Paris,37
NoXI,004_2016-03-18_Paris,38
NoXI,004_2016-03-18_Paris,39
NoXI,004_2016-03-18_Paris,4
NoXI,004_2016-03-18_Paris,5
NoXI,004_2016-03-18_Paris,6
NoXI,004_2016-03-18_Paris,7
NoXI,004_2016-03-18_Paris,8
NoXI,004_2016-03-18_Paris,9
NoXI,005_2016-03-18_Paris,1
NoXI,005_2016-03-18_Paris,10
NoXI,005_2016-03-18_Paris,11
NoXI,005_2016-03-18_Paris,12
NoXI,005_2016-03-18_Paris,13
NoXI,005_2016-03-18_Paris,14
NoXI,005_2016-03-18_Paris,15
NoXI,005_2016-03-18_Paris,16
NoXI,005_2016-03-18_Paris,17
NoXI,005_2016-03-18_Paris,18
NoXI,005_2016-03-18_Paris,19
NoXI,005_2016-03-18_Paris,2
NoXI,005_2016-03-18_Paris,20
NoXI,005_2016-03-18_Paris,21
NoXI,005_2016-03-18_Paris,22
NoXI,005_2016-03-18_Paris,23
NoXI,005_2016-03-18_Paris,24
NoXI,005_2016-03-18_Paris,25
NoXI,005_2016-03-18_Paris,26
NoXI,005_2016-03-18_Paris,27
NoXI,005_2016-03-18_Paris,28
NoXI,005_2016-03-18_Paris,29
NoXI,005_2016-03-18_Paris,3
NoXI,005_2016-03-18_Paris,30
NoXI,005_2016-03-18_Paris,31
NoXI,005_2016-03-18_Paris,32
NoXI,005_2016-03-18_Paris,33
NoXI,005_2016-03-18_Paris,34
NoXI,005_2016-03-18_Paris,35
NoXI,005_2016-03-18_Paris,36
NoXI,005_2016-03-18_Paris,4
NoXI,005_2016-03-18_Paris,5
NoXI,005_2016-03-18_Paris,6
NoXI,005_2016-03-18_Paris,7
NoXI,005_2016-03-18_Paris,8
NoXI,005_2016-03-18_Paris,9
NoXI,006_2016-03-18_Paris,1
NoXI,006_2016-03-18_Paris,10
NoXI,006_2016-03-18_Paris,11
NoXI,006_2016-03-18_Paris,12
NoXI,006_2016-03-18_Paris,13
NoXI,006_2016-03-18_Paris,14
NoXI,006_2016-03-18_Paris,15
NoXI,006_2016-03-18_Paris,16
NoXI,006_2016-03-18_Paris,17
NoXI,006_2016-03-18_Paris,18
NoXI,006_2016-03-18_Paris,19
NoXI,006_2016-03-18_Paris,2
NoXI,006_2016-03-18_Paris,20
NoXI,006_2016-03-18_Paris,21
NoXI,006_2016-03-18_Paris,22
NoXI,006_2016-03-18_Paris,23
NoXI,006_2016-03-18_Paris,24
NoXI,006_2016-03-18_Paris,25
NoXI,006_2016-03-18_Paris,26
NoXI,006_2016-03-18_Paris,27
NoXI,006_2016-03-18_Paris,28
NoXI,006_2016-03-18_Paris,29
NoXI,006_2016-03-18_Paris,3
NoXI,006_2016-03-18_Paris,30
NoXI,006_2016-03-18_Paris,31
NoXI,006_2016-03-18_Paris,32
NoXI,006_2016-03-18_Paris,33
NoXI,006_2016-03-18_Paris,34
NoXI,006_2016-03-18_Paris,35
NoXI,006_2016-03-18_Paris,36
NoXI,006_2016-03-18_Paris,37
NoXI,006_2016-03-18_Paris,38
NoXI,006_2016-03-18_Paris,39
NoXI,006_2016-03-18_Paris,4
NoXI,006_2016-03-18_Paris,40
NoXI,006_2016-03-18_Paris,41
NoXI,006_2016-03-18_Paris,42
NoXI,006_2016-03-18_Paris,43
NoXI,006_2016-03-18_Paris,44
NoXI,006_2016-03-18_Paris,45
NoXI,006_2016-03-18_Paris,46
NoXI,006_2016-03-18_Paris,47
NoXI,006_2016-03-18_Paris,48
NoXI,006_2016-03-18_Paris,49
NoXI,006_2016-03-18_Paris,5
NoXI,006_2016-03-18_Paris,50
NoXI,006_2016-03-18_Paris,51
NoXI,006_2016-03-18_Paris,6
NoXI,006_2016-03-18_Paris,7
NoXI,006_2016-03-18_Paris,8
NoXI,006_2016-03-18_Paris,9
NoXI,007_2016-03-21_Paris,1
NoXI,007_2016-03-21_Paris,10
NoXI,007_2016-03-21_Paris,11
NoXI,007_2016-03-21_Paris,12
NoXI,007_2016-03-21_Paris,13
NoXI,007_2016-03-21_Paris,14
NoXI,007_2016-03-21_Paris,15
NoXI,007_2016-03-21_Paris,16
NoXI,007_2016-03-21_Paris,17
NoXI,007_2016-03-21_Paris,18
NoXI,007_2016-03-21_Paris,19
NoXI,007_2016-03-21_Paris,2
NoXI,007_2016-03-21_Paris,20
NoXI,007_2016-03-21_Paris,21
NoXI,007_2016-03-21_Paris,22
NoXI,007_2016-03-21_Paris,23
NoXI,007_2016-03-21_Paris,24
NoXI,007_2016-03-21_Paris,25
NoXI,007_2016-03-21_Paris,26
NoXI,007_2016-03-21_Paris,27
NoXI,007_2016-03-21_Paris,28
NoXI,007_2016-03-21_Paris,29
NoXI,007_2016-03-21_Paris,3
NoXI,007_2016-03-21_Paris,30
NoXI,007_2016-03-21_Paris,31
NoXI,007_2016-03-21_Paris,32
NoXI,007_2016-03-21_Paris,33
NoXI,007_2016-03-21_Paris,34
NoXI,007_2016-03-21_Paris,35
NoXI,007_2016-03-21_Paris,36
NoXI,007_2016-03-21_Paris,37
NoXI,007_2016-03-21_Paris,38
NoXI,007_2016-03-21_Paris,39
NoXI,007_2016-03-21_Paris,4
NoXI,007_2016-03-21_Paris,40
NoXI,007_2016-03-21_Paris,41
NoXI,007_2016-03-21_Paris,42
NoXI,007_2016-03-21_Paris,43
NoXI,007_2016-03-21_Paris,44
NoXI,007_2016-03-21_Paris,45
NoXI,007_2016-03-21_Paris,46
NoXI,007_2016-03-21_Paris,47
NoXI,007_2016-03-21_Paris,48
NoXI,007_2016-03-21_Paris,49
NoXI,007_2016-03-21_Paris,5
NoXI,007_2016-03-21_Paris,50
NoXI,007_2016-03-21_Paris,51
NoXI,007_2016-03-21_Paris,52
NoXI,007_2016-03-21_Paris,53
NoXI,007_2016-03-21_Paris,54
NoXI,007_2016-03-21_Paris,55
NoXI,007_2016-03-21_Paris,56
NoXI,007_2016-03-21_Paris,57
NoXI,007_2016-03-21_Paris,58
NoXI,007_2016-03-21_Paris,59
NoXI,007_2016-03-21_Paris,6
NoXI,007_2016-03-21_Paris,60
NoXI,007_2016-03-21_Paris,61
NoXI,007_2016-03-21_Paris,62
NoXI,007_2016-03-21_Paris,63
NoXI,007_2016-03-21_Paris,64
NoXI,007_2016-03-21_Paris,65
NoXI,007_2016-03-21_Paris,66
NoXI,007_2016-03-21_Paris,67
NoXI,007_2016-03-21_Paris,68
NoXI,007_2016-03-21_Paris,69
